Year,GDP_Actual_B$,GDP_Pred_B$,Error_B$,Error_pct
2010,100.86532947344,105.73758277345712,4.872253300017135,4.830453958215745
2011,110.080631332375,109.98016481096212,-0.1004665214128875,-0.0912663019796291
2012,106.937392311129,113.23865056128795,6.301258250158951,5.892474198197909
2013,115.73928730508,108.79871639649376,-6.940570908586228,-5.99672857004157
2014,119.130841411664,116.18205928012802,-2.9487821315359803,-2.475246625134025
2015,110.413823841592,118.50929071726424,8.09546687567224,7.331932355939967
2016,111.572947004917,111.8651913859459,0.2922443810289001,0.261931219775006
2017,118.540573367844,123.4783227344072,4.937749366563202,4.16545088848258
2018,127.341147581818,125.63346916389646,-1.707678417921524,-1.3410264084704615
2019,128.92026640945798,131.1803392719812,2.2600728625232085,1.7530780268054138
2020,121.353645057144,123.43389727319452,2.0802522160505217,1.714206619068554
2021,142.022058447231,134.6628238179111,-7.359234629319901,-5.18175465824153
2022,131.245312804483,140.0030509281154,8.757738123632416,6.672800678740335
2023,146.036093666762,141.77970005993328,-4.256393606828705,-2.9146175441677578
2024,160.61099405473402,144.51282225991966,-16.098171794814363,-10.02308209942859
